PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40627904,Caffeic acid and 5-caffeoylquinic acid inhibit HT-29 colorectal cancer cell growth through immunotherapy by inducing the Bax/Bcl-2 apoptotic pathway in vitro.,2025Jul04,Ting-Yi Wu; Jin-Yuarn Lin,"Department of Food Science and Biotechnology, National Chung Hsing University, 250 Kuo-Kuang Road, Taichung 40227, Taiwan, ROC. Electronic address: jinlin@nchu.edu.tw.; Department of Food Science and Biotechnology, National Chung Hsing University, 250 Kuo-Kuang Road, Taichung 40227, Taiwan, ROC.",jinlin@nchu.edu.tw.
40627846,EML4-ALK rearrangement creates a distinctive myeloid cell-dominant immunosuppressive microenvironment in lung cancer.,2025Jul08,Yukari Nishito; Hideaki Mizuno; Yukiko Sonobe; Yoko Kayukawa; Toru Maruyama; Akiyoshi Hirayama; Tomoyoshi Soga; Hiroyuki Tsunoda,"Chugai Pharmaceutical Co., Ltd., Yokohama City, Japan.; Roche (Switzerland), Basel, Basel-stadt, Switzerland.; Chugai Pharmaceutical Co. Ltd., Yokohama, Kanagawa, Japan.; Chugai Pharmaceutical Co., Ltd., Yokohama, Kanagawa, Japan.; Chugai Pharmaceutical Co., Ltd., Kamakura, Kanagawa, Japan.; Keio University, Tsuruoka, Yamagata, Japan.",
40627813,RP1 Combined With Nivolumab in Advanced Anti-PD-1-Failed Melanoma (IGNYTE).,2025Jul08,Trisha M Wise-Draper; Praveen K Bommareddy; Junhong Zhu; Marcus Viana; Jeannie W Hou; Robert S Coffin,"University of Cincinnati Cancer Center, University of Cincinnati, Cincinnati, OH, USA.; Replimune, Inc., Woburn, MA, USA.",
40627669,HPV vaccine uptake among adolescent girls in Nigeria: The complex role of caregivers' education.,2025,Ifeanyi Nsofor,"Family Health Initiative, Abuja, Nigeria.",
40627495,"Updates on cancer vaccines in brain cancer: Advances in neuroblastoma, delivery systems, and emerging technologies.",2025Dec,Hope Onohuean; Ayobami Adesiyan; Akinsuyi Oluwamayowa Samuel,"Biopharmaceutics Unit, Department of Pharmacology and Toxicology, School of Pharmacy, Kampala International University, Western Campus, Ishaka, Uganda.; Department of Botany and Microbiology, University of Lagos, Lagos, Nigeria.; Department of Microbiology and Cell Science, Institute of Food and Agricultural Sciences, University of Florida, Gainesville, FL, USA.",
40627458,Tumor microenvironments with an active type-I interferon response are sensitive to inhibitors of heme degradation.,2025Jul08,Dominika Sosnowska; Tik Shing Cheung; Jit Sarkar; James W Opzoomer; Karen T Feehan; Joanne E Anstee; Chloé Amelia Woodman; Mohamed Reda Keddar; Kalum Clayton; Samira Ali; William Macmorland; Dorothy D Yang; James Rosekilly; Cheryl E Gillett; Francesca D Ciccarelli; James Spicer; Anita Grigoriadis; James N Arnold,"School of Cancer and Pharmaceutical Sciences, King's College London, London, United Kingdom.; Cancer Systems Biology Laboratory, The Francis Crick Institute, London, United Kingdom.",
40627448,NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING.,2025Jul08,Barzin Y Nabet; Velimir Gayevskiy; Noemi Kedei; Thorkell Andresson; Sudipto Das; Priyanka Gopal; Mohamed E Abazeed; Moises J Velez; David S Shames,"Protein Characterization Laboratory, National Cancer Institute, Bethesda, United States of America.; Department of Pathology and Laboratory Medicine, University of Rochester, Rochester, United States of America.; Collaborative Protein Technology Resource, Center for Cancer Research, National Cancer Institute, Bethesda, United States of America.; Department of Radiation Oncology, Northwestern University Feinberg School of Medicine, Chicago, United States of America.; Genentech Inc., South San Francisco, United States of America.",
40627401,Controlling T cell-tumor cell interaction with a biomimetic physical barrier for cancer immunotherapy.,2025Jul15,Yuxuan Zhang; Jinjin Wang; Guangchao Qing; Yongchao Wang; Xianlei Li; Ting Luo; Yi-Feng Wang; Lu Liu; Yufei Wang; Qiankun Ni; Shuyi Li; Junge Chen; Fangzhou Li; Weisheng Guo; Jinchao Zhang; Xing-Jie Liang,"Translational Medicine Center, Key Laboratory of Molecular Target and Clinical Pharmacology, School of Pharmaceutical Sciences and The Second Affiliated Hospital, Guangzhou Medical University, Guangzhou 510260, China.; State Key Laboratory of New Pharmaceutical Preparations and Excipients, Key Laboratory of Medicinal Chemistry and Molecular Diagnosis of the Ministry of Education, College of Chemistry and Environmental Science, Hebei University, Baoding 071002, China.; Laboratory of Controllable Nanopharmaceuticals, Chinese Academy of Sciences Key Laboratory for Biomedical Effects of Nanomaterials and Nanosafety, Chinese Academy of Sciences Center for Excellence in Nanoscience, National Center for Nanoscience and Technology, Beijing 100190, China.",
40627276,Identification of disulfidptosis-related prognostic biomarkers associated with CD4 + and CD8 + T cells infiltration for sarcoma by integrating bioinformatic analysis and experimental validation.,2025Jul08,Ting Wang; Ting Mo,"Rehabilitation Medicine Department, Zhuzhou Hospital Affiliated to Xiangya School of Medicine, Central South University, 412000, Zhuzhou, China.",xiezhiqin@csu.edu.cn.
40627113,Nanotechnology-enhanced immunotherapies for pancreatic ductal adenocarcinoma: challenges and opportunities.,2025Jul08,Sheng Yang; Yen-Nhi Ngoc Ta; Yunching Chen,"Institute of Biomedical Engineering, National Tsing Hua University, Hsinchu, 30013, Taiwan.; Institute of Biomedical Engineering, National Tsing Hua University, Hsinchu, 30013, Taiwan. yunching@mx.nthu.edu.tw.",yunching@mx.nthu.edu.tw.
40627035,Immune-based molecular subtyping of triple-negative breast cancer via SNF-CC and functional validation of key immune-associated genes.,2025Jul08,Hui Chang; Fuchun Li; Jinpeng Hu; Meizhe Liu; Aidong Li,"Department of Oncology and Laparoscopy Surgery, The First Affiliated Hospital of Harbin Medical University, No. 23, Post Street, Nangang District, Harbin, 150001, Heilongjiang Province, China. liaidong1964212@163.com.; Department of Oncology and Laparoscopy Surgery, The First Affiliated Hospital of Harbin Medical University, No. 23, Post Street, Nangang District, Harbin, 150001, Heilongjiang Province, China.",@163.com.
40626955,Design and Characterization of Prodrugged Anti-CTLA-4 Antibodies.,2025Jul08,Srikanth Kotapati,"Bristol-Myers Squibb Company, Research and Development, UNITED STATES OF AMERICA.",
40626667,Lights and shadows of microsatellite status characterization in gastrointestinal cancers in the era of cancer precision therapy.,2025Jun,Claudio Luchini; Federica Grillo,"Department of Diagnostics and Public Health, Section of Pathology, University and Hospital Trust of Verona, Verona, Italy.; Pathology Unit, Department of Surgical Sciences and Integrated Diagnostics (DISC), University of Genoa and IRCCS Ospedale Policlinico San Martino, Genoa, Italy.",
40626363,Polyfunctional T follicular helper cells drive checkpoint-inhibitor diabetes and are targeted by JAK inhibitor therapy.,2025Jul08,Nicole L Huang; Kyleigh Kimbrell; Joah Lee; Sarah J Wang; Kristy Kim; Zoe Quandt; Trevor E Angell; Melissa G Lechner,"Division of Endocrinology, Diabetes, and Metabolism, UCLA David Geffen School of Medicine, Los Angeles, California, USA.; Division of Endocrinology and Metabolism, UCSF Medical School, San Francisco, California, USA.; Division of Endocrinology and Diabetes, University of Southern California Keck School of Medicine, Los Angeles, California, USA.",
40626041,Perspective on recent developments and challenges in regulatory and systems genomics.,2025,Alejandra Medina-Rivera,"Laboratorio Internacional de Investigación sobre el Genoma Humano, Universidad Nacional Autónoma de México, Santiago de Querétaro 76230, Mexico.",
40626017,Part II: consensus statements and expert recommendations for BRCA-associated breast cancer in the Asia-Pacific region: clinical management.,2025,Sun-Young Kong,"Department of Laboratory Medicine and Genetic Counselling Clinic, National Cancer Center, Goyang, Gyeonggi-do, Republic of Korea.",
40625850,Lung cancer vaccine strategies: exploring the spectrum from traditional to RNA-based platforms.,2025,Valentyn Oksenych,"Broegelmann Research Laboratory, Department of Clinical Science, University of Bergen, Bergen, Norway.",
40625771,A rare case of primary prostate melanoma with extensive secondaries: case report.,2025Jul,Kumanan Jayaraman; Rejeesh Selvaganesan; Binitta Sherin,"Oncology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.; Surgical Gastroenterology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.; Pathology, KIMS Health, TVM Main Road, Chukankadai, Nagercoil, 629003 India.",
40625753,Characterization of the clinical relevance and hypoallergenic peptides of the newly evidenced major allergen Hum j 1.,2025,Ya-Li Cheng; Qiong Li; Yong-Shi Yang; Yi-Bo Hou; Ji-Fu Wei; Jin-Lyu Sun,"Department of Pharmacy, The Affiliated Cancer Hospital of Nanjing Medical University and Jiangsu Cancer Hospital and Jiangsu Institute of Cancer Research, Nanjing, China.; Department of Allergy, State Key Laboratory of Complex Severe and Rare Diseases, Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",
40625735,Co-expression of IL-15/IL-15Ra complex enhances NKG2D-CAR T cell-mediated anti-pancreatic cancer immunity by activating the JAK/STAT5 signaling pathway.,2025,Yiran Chen; Chenxu Jin; Dandan Guo; Xinhui Hui; Yuzhou Ji; Yunhe Huang; Min Xue; Yaoxin Gao; Yaojun Ren; Haizhen Lin; Ying Zhou; Wenzheng Jiang,"Shanghai Key Laboratory of Regulatory Biology, School of Life Sciences, East China Normal University, Shanghai, China.",
40625666,Tracheoesophageal Fistula Following Chemoradiation and Esophagectomy in Esophageal Adenocarcinoma: A Fatal Complication.,2025Jul,Aleena Salman,"Medicine, Shifa College of Medicine, Shifa Tameer-e-Millat University, Islamabad, PAK.",
40625661,Microbubble-Templated Immunoactive Metal-Phenolic Capsules for Drug Delivery and Enhanced Cancer Immunotherapy.,2025,Xin Tan; Xiaojing Wu; Yinghua Tao; Weikun Li; Yanling Liang; Huiqin Lu; Diyi Feng; Nuoya Chen; Ling Liu; Liqin Ge,"Jiangsu Provincial Key Laboratory of Critical Care Medicine, Department of Critical Care Medicine, Zhongda Hospital, School of Medicine, Southeast University, Nanjing 210009, P.R. China.; State Key Laboratory of Digital Medical Engineering, School of Biological Science and Medical Engineering, Southeast University, Nanjing 210096, P.R. China.",
40625660,Daurisoline Modulates the TBK1-Dependent Type I Interferon Pathway to Boost Anti-tumor Immunity via Targeting of LRP1.,2025,Borui Tang; Yuting Wang; Liping Li; Cuicui Sun; Jingwen Dong; Ruoqi Li; Jianfeng Wang; Yu Long; Mingxiao Yin; Fei Xie; Dian Xiao; Xinbo Zhou; Na Zhang; Xiuli Zhao; Hongbin Deng,"Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100050, China.; National Engineering Research Center for the Emergency Drug, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, China.; School of Pharmaceutical Sciences, Capital Medical University, Beijing 100069, China.; Department of Pharmacy, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan 250021, China.",
40625539,Successful Conversion Surgery for Unresectable Microsatellite Instability-High Pancreatic Tail Cancer Following Pembrolizumab Therapy.,2025,Nobuhiro Harada; Masanao Kurata; Yasuji Seyama; Chikara Shirata; Hiroko Okinaga; Toshihiro Okuya; Mizuka Suzuki; Shinichiro Horiguchi,"Department of Radiology, Tokyo Metropolitan Cancer and Infectious Diseases Center Komagome Hospital, Tokyo, Japan.; Department of Medical Oncology, Tokyo Metropolitan Cancer and Infectious Diseases Center Komagome Hospital, Tokyo, Japan.; Department of Hepato-Biliary-Pancreatic Surgery, Tokyo Metropolitan Cancer and Infectious Diseases Center Komagome Hospital, Tokyo, Japan.; Department of Pathology, Tokyo Metropolitan Cancer and Infectious Diseases Center Komagome Hospital, Tokyo, Japan.",
40625227,Cascade-Targeted Nanoparticles for Enhanced Gemcitabine Delivery and Adenosine Metabolism Modulation to Overcome Treatment Resistance in Pancreatic Cancer.,2025Jul08,Hongrui Fan; Hongyi Chen; Haolin Song; Chufeng Li; Yu Wang; Zhenhao Zhao; Qin Guo; Xuwen Li; Mingxuan Liu; Tao Sun; Chen Jiang,"Department of Pharmaceutics, School of Pharmaceutical Sciences, Key Laboratory of Smart Drug Delivery, Ministry of Education, State Key Laboratory of Brain Function and Disorders and MOE Frontiers Center for Brain Science, Fudan University, Shanghai, 201203, China.",
40624835,"Drugging the 'undruggable' KRAS: breakthroughs, challenges, and opportunities in pancreatic cancer.",2025Jul07,Nawaz Khan; Umar Raza; Syed Aqib Ali Zaidi; Muhadaisi Nuer; Kayisaier Abudurousuli; Yipaerguli Paerhati; Alifeiye Aikebaier; Wenting Zhou,"Department of Pharmacology, School of Pharmacy, Xinjiang Medical University, Urumqi 830011, China.; Shenzhen Key Laboratory of Anti-Aging and Regenerative Medicine, Medical School, Shenzhen University, Shenzhen 518060, China.",
40624659,One step further in targeting acute leukemia by combining antibody-based immunotherapies and small molecule inhibitors.,2025Jul07,Armin Dozandeh-Jouybari; Saeid Taghiloo; Tohid Kazemi,"Immunology Research Center, Tabriz University of Medical Sciences, Tabriz, Iran.; Department of Immunology, Faculty of Medicine, Mazandaran University of Medical Sciences, Sari, Iran. s.taghilo@mazums.ac.ir.; Immunology Research Center, Tabriz University of Medical Sciences, Tabriz, Iran. tohid_kazemi@yahoo.com.",taghilo@mazums.ac.ir.
40624624,Integrated analysis of polytranscriptomics reveals TNFSF ligand genes in pancreatic cancer prognosis and immune regulation.,2025Jul07,Lincheng Li,"Department of Surgery, Second Mobile Corps Hospital of Chinese People's Armed Police Force, Wuxi, China.",@126.com.
40624569,Recent advances and challenges of cellular immunotherapies in lung cancer treatment.,2025Jul07,Yue Liu; Xi Zhang,"Medical Center of Hematology, State Key Laboratory of Trauma and Chemical Poisoning, Chongqing Key Laboratory of Hematology and Microenvironment, Xinqiao Hospital of Army Medical University, Chongqing, 400037, China.; Medical Center of Hematology, State Key Laboratory of Trauma and Chemical Poisoning, Chongqing Key Laboratory of Hematology and Microenvironment, Xinqiao Hospital of Army Medical University, Chongqing, 400037, China. zhangxxi@sina.com.",zhangxxi@sina.com.
40624498,"Advancing CAR-based cell therapies for solid tumours: challenges, therapeutic strategies, and perspectives.",2025Jul07,Sarkar Sardar Azeez; Shukur Wasman Smail; Azhin Saber Ali,"Department of Medical Laboratory Technology, Soran Technical College, Erbil Polytechnic University, Erbil, Kurdistan Region, 44008, Iraq.; Department of Medical Laboratory Technology, Shaqlawa Technical College, Erbil Polytechnic University, Erbil, Kurdistan Region, Iraq.; College of Pharmacy, Cihan University-Erbil, Erbil, Kurdistan Region, Iraq.",janson@medsci.uu.se.
40624169,Toripalimab in Esophageal Cancer: A Systematic Review and Meta-Analysis.,2025Jul07,Aya Ahmed Shimal,"College of Medicine, University of Baghdad, Baghdad, Iraq.",@gmail.com.
40624082,Targeting dysregulated molecular pathways in cancer cell lines using small molecule inhibitors as a promising therapeutic strategy.,2025Jul07,Hassan H Almasoudi; Shoaib Khan,"Department of Chemistry, Abbottabad University of Science and Technology, Abbottabad, 22500, Pakistan. shoaibkhanswati@gmail.com.; Department of Clinical Laboratory Sciences, College of Applied Medical Sciences, Najran University, Najran, Saudi Arabia. hhalmasoudi@nu.edu.sa.",hhalmasoudi@nu.edu.sa.
40624019,NR4A3 potentials M1-like macrophage polarization to facilitate anti-tumor immune responses in breast cancer.,2025Jul07,Yi-Yu Qian; Ning Jin; Ya Wang; Xin Li; Wen Pan; Pu Huang; Qing-Lei Gao; Yu Xia,"Department of Obstetrics and Gynecology, Shandong Provincial Hospital Affiliated to Shandong First Medical University, Jinan, 250000, China.; Cancer Biology Research Center (Key Laboratory of the Ministry of Education, Hubei Provincial Key Laboratory of Tumor Invasion and Metastasis), Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China.; Cancer Biology Research Center (Key Laboratory of the Ministry of Education, Hubei Provincial Key Laboratory of Tumor Invasion and Metastasis), Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China. Xiayu_hb@tjh.tjmu.edu.cn.; Cancer Biology Research Center (Key Laboratory of the Ministry of Education, Hubei Provincial Key Laboratory of Tumor Invasion and Metastasis), Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430030, China. qlgao@tjh.tjmu.edu.cn.",qlgao@tjh.tjmu.edu.cn.
40623945,Cathepsin B-Ignited Nanorocket To Blast Tumor Lysosomes for TLR-Fortified Lysosomal Immunotherapy with Dual-Switchable Fluorescence/Magnetic Resonance Imaging.,2025Jul07,Yue Chen; Qinyi Chen; Yuanyuan Ma; Xinge Su; Cheng Zhang; Kejing Li; Meiyi Liang; Minghao Sun; Liyuan Zhang; Xihe Kuang; Teng Zhang; Ran Yan; Shenghong Ju; Wenpei Fan,"Digital Health Laboratory, School of Clinical Medicine, The University of Hong Kong, Hong Kong, China.; State Key Laboratory of Natural Medicines and Jiangsu Key Laboratory of Drug Discovery for Metabolic Diseases, Center of Advanced Pharmaceuticals and Biomaterials, China Pharmaceutical University, Nanjing 211198, China.; Nurturing Center of Jiangsu Province for State Laboratory of AI Imaging & Interventional Radiology, Department of Radiology, Zhongda Hospital, School of Medicine, Southeast University, Nanjing 210009, China.; Key Laboratory of Biomedical Functional Materials, School of Science, China Pharmaceutical University, Nanjing 211198, China.",
40623912,[Advances in the application strategies of CRISPR/Cas9 technology in chimeric antigen receptor T cell therapy for hematological malignancies].,2025May14,Y W Wang; Y M Tang,"Department/Center of Hematology-oncology, Children's Hospital of Zhejiang University School of Medicine; Pediatric Leukemia Diagnostic and Therapeutic Technology Research Center of Zhejiang Province; National Clinical Research Center for Child Health, Hangzhou 310003, China.",
40623886,"Platinum and etoposide chemotherapy, durvalumab with thoracic radiotherapy in the first-line treatment of patients with extensive-stage small-cell lung cancer: CHEST-RT (TROG 20.01) Trial - protocol for a phase II study.",2025Jul07,Melissa Moore,"Medical Oncology, St Vincent's Hospital (Melbourne) Limited, Fitzroy, Victoria, Australia.",hau@health.nsw.gov.au.
40623782,From immunotherapy to autoimmunity: reactive arthritis following intravesical BCG.,2025Jul07,Saad Alqasem,"Surgery, Prince Sattam bin Abdulaziz University, Al Kharj, Saudi Arabia.",jcorcosmd@gmail.com.
40623769,Role of microbiome in cancer progression.,2025,Rinki Basoya; Akshay Basi,"Cancer RNA Biology Lab, Council of Scientific and Industrial Research, Institute of Genomics and Integrative Biology (CSIR-IGIB), South Campus, New Delhi, India.; NC Flow Cytometry and Cellular Imaging Core Facility, MD Anderson Cancer Center, Houston, TX, United States.",sadhna@gmail.com.
40623764,Microbiome-mediated immune modulation in tumor microenvironment.,2025,Anshuman Mishra; Kranthi Kumar Madamchetty Venkata; Abishai Dominic,"Basavataram Indo American Cancer Hospital, Hyderabad, India.; Department of Cancer Systems Imaging, The University of Texas MD Anderson Cancer Center, Houston, Texas, United States. Electronic address: adominic@mdanderson.org.; Translational Research & Sustainable Healthcare Management, Institute of Advanced Materials, IAAM, Ulrika, Sweden.",adominic@mdanderson.org.
40623718,"Authors response to ""Letter to the Editor"": ""Tumor mutational burden and survival on immune checkpoint inhibition in >8000 patients across 24 cancer types"".",2025Jul07,Ryon P Graf,"Foundation Medicine Inc, San Diego, California, USA rgraf@foundationmedicine.com.",rgraf@foundationmedicine.com.
40623717,Oncolytic HSV-IL27 expression improves CD8 T cell function and therapeutic activity in syngeneic glioma models.,2025Jul07,Alexia K Martin; Jack Hedberg; Ilse Hernandez-Aguirre; Uksha Saini; Doyeon Kim; Yeaseul Kim; Ravi Dhital; Kevin A Cassady,"Center for Childhood Cancer Research, Abigail Wexner Research Institute at Nationwide Children's Hospital, Columbus, Ohio, USA.; Center for Childhood Cancer Research, Abigail Wexner Research Institute at Nationwide Children's Hospital, Columbus, Ohio, USA Kevin.Cassady@Nationwidechildrens.org.",Cassady@Nationwidechildrens.org.
40623716,Precision targeting of rhabdomyosarcoma by combining primary CAR NK cells and radiotherapy.,2025Jul07,Evelyn Ullrich,"Department of Pediatrics, Experimental Immunology and Cell Therapy, Goethe University Frankfurt, Frankfurt (Main), Germany Evelyn@Ullrichlab.de.",Evelyn@Ullrichlab.de.
